customer_id,date,revenue,channel,region
992,2023-08-08,465.0,Email,EU
438,2023-06-11,252.86,Email,APAC
712,2023-01-23,400.54,Referral,APAC
196,2023-05-03,498.24,Google Ads,EU
128,2022-03-18,499.58,Referral,US
572,2022-10-25,329.28,Google Ads,US
715,2023-05-20,218.37,Referral,US
682,2022-09-10,203.96,Referral,EU
905,2022-03-10,430.68,Organic,US
89,2022-03-29,335.89,Email,US
447,2023-06-04,39.52,Referral,EU
216,2023-08-04,357.24,Organic,APAC
938,2022-12-28,57.97,Google Ads,US
375,2022-11-12,443.82,Email,APAC
840,2022-07-29,122.94,Organic,US
377,2022-09-25,408.14,Google Ads,APAC
316,2022-03-08,423.51,Organic,APAC
679,2022-04-29,416.83,Google Ads,APAC
84,2022-10-22,202.03,Google Ads,EU
434,2023-07-22,388.77,Organic,EU
995,2022-03-11,287.19,Google Ads,EU
885,2023-04-13,463.8,Referral,EU
835,2023-02-20,461.81,Google Ads,APAC
662,2023-03-16,400.56,Referral,US
744,2023-10-14,468.66,Email,EU
552,2023-05-31,103.63,Email,APAC
651,2023-12-03,267.21,Google Ads,EU
248,2022-04-22,99.74,Email,US
476,2022-06-30,237.34,Google Ads,EU
11,2023-01-24,280.71,Referral,US
212,2023-09-19,47.48,Email,EU
501,2022-11-04,225.45,Referral,EU
395,2022-07-06,271.77,Organic,US
834,2023-06-18,110.65,Email,US
798,2023-07-17,236.11,Google Ads,US
137,2022-08-24,241.54,Google Ads,EU
753,2022-09-24,33.25,Email,APAC
978,2023-06-14,390.03,Email,US
868,2022-01-05,279.41,Referral,APAC
782,2023-05-28,160.72,Organic,EU
887,2023-11-11,59.78,Google Ads,EU
763,2022-09-10,421.11,Email,US
600,2022-01-14,260.08,Email,EU
326,2022-01-14,225.1,Organic,APAC
305,2022-10-17,174.17,Organic,APAC
372,2022-06-05,468.07,Organic,US
36,2022-04-01,210.63,Email,EU
206,2022-04-24,311.11,Organic,APAC
386,2022-04-29,310.05,Google Ads,US
171,2023-04-24,407.98,Organic,APAC
668,2023-07-31,441.0,Referral,APAC
518,2022-11-17,406.4,Organic,APAC
235,2023-08-18,325.07,Referral,APAC
401,2022-06-06,488.43,Google Ads,APAC
949,2022-02-24,23.15,Referral,APAC
864,2022-01-25,81.02,Referral,EU
495,2023-10-19,107.84,Referral,US
284,2023-06-11,50.75,Email,APAC
629,2023-05-28,173.49,Organic,APAC
850,2023-08-28,175.75,Email,US
519,2022-02-05,345.21,Google Ads,EU
674,2023-01-01,268.69,Email,APAC
471,2023-05-24,278.61,Organic,US
882,2023-01-13,383.5,Email,EU
124,2022-01-21,37.34,Google Ads,US
168,2022-06-30,397.47,Google Ads,APAC
